logFC_RCCD1OE.CONTROL	padj_RCCD1OE.CONTROL
TMPRSS13	-0.714175397267962	2.49678330620031e-05
MYPN	0.617036455445692	9.62870485680282e-10
KIAA1644	0.922032856211892	0.00653773501030202
SYT16	-0.527065008637374	0.0313811135921293
CDH11	1.76342103519109	3.89304758689662e-44
CBX4	-0.572226294826956	1.86864500607812e-07
COL6A2	0.658876111562352	5.07294418534095e-08
WTIP	0.526198503133697	0.0149056065131802
SLC2A5	0.620608816901184	0.0299237870329802
CGN	-0.633663762378688	9.7681770702746e-06
ATP8B2	0.65526984723161	1.05865399920191e-05
ACKR3	0.752302376715493	0.0436503776701197
RP11.977G19.10	-0.901674909175791	0.046946938164928
CLVS2	0.857340140650177	0.00147093921484351
EPHA1	-0.687996675449535	1.19484103028759e-08
SLC39A4	-0.589807106418167	2.52239111686399e-07
LCN2	-0.78604818003523	9.3074923301241e-12
NCAM1	0.781063158590266	0.00155094559036206
MPP7	-0.994019183907485	0.0281931018901123
LYPD6B	-0.890701803184511	0.0246328580754728
AKR1C2	0.712147188812226	3.59546059337262e-13
PDE3B	1.52098901024659	0.0010564093214053
SPOCK1	0.528182760076916	2.34720460381503e-07
ZNF773	1.06766609224376	0.0358431387021803
RAB3C	0.863416400142977	0.00576413839478451
C4orf19	-0.812868566364893	0.0414152144005533
PROM2	-0.947716171583806	2.47101298574997e-23
STEAP2	-0.922384461884642	2.19475713010853e-08
GAREML	-0.511155846329673	0.0188664867717205
AUTS2	-0.736782017655486	2.39128684490498e-07
LAD1	-0.514248729369736	2.78119674191175e-07
TNNI1	-0.607584855236235	0.00177054107812973
CCDC58	-0.556815645762461	1.99637570443899e-08
ABCG1	-0.785941817991336	0.00468840848238634
PDE9A	0.514990122403495	0.0246698854800189
CBS	-0.703442804509033	1.33526434096569e-05
C21orf33	-0.664026729196872	0.0281931018901123
AZGP1	-1.3647801585862	2.00812044304206e-07
CYGB	-0.782303487118053	0.0100616232814193
CCDC64B	-0.867394534070337	0.00594104476115111
ACTG2	0.609924321712533	0.0192673252209438
INHBB	0.683480608425445	2.14459324803388e-07
S100A9	-0.591337154207784	1.39859987778645e-09
IL17RE	-0.823029392536446	1.53045700662362e-08
CAMKV	-1.4490318626241	3.38386885452375e-17
GUCY1A3	-0.752144267722091	0.00036010316657241
CSMD3	0.543304871907038	0.00287540125175723
SVEP1	1.35629977395405	1.8243995021861e-35
GJB2	0.700847230746028	0.0202492799019073
C10orf10	-1.15710391421586	2.97180450583035e-15
BEND7	0.966170576479001	0.0199307559271378
PRAP1	-1.15754391910958	0.00360702206888049
TC2N	-0.786613782196705	3.42620174433507e-12
FBN1	0.828761752441796	2.45741383549282e-19
CDYL2	0.595259641603027	0.00834552001880574
ZNF606	-0.723404204368698	0.0169819492760316
C16orf45	0.641600514521752	1.95330553711332e-05
RCCD1	1.17591476064102	4.16478941604334e-33
TUBA1A	0.680667110908821	7.66238533610595e-13
TMC4	-0.52057508944006	0.0002590677655592
DNAAF3	-0.510216850392663	0.0100616232814193
LY6D	-0.52258233864219	8.15721803240461e-05
KLK5	-0.59964343093414	0.0161939474987588
TMEM99	0.574283051750152	1.17061190727028e-05
KIF5C	0.887879435872309	0.000233508134196793
IL7R	0.916096731669869	1.54427795736521e-19
VAMP5	0.622430469138626	0.00138272632320873
KIAA1024	0.612292655214016	0.0194293174304193
SPRR1B	-0.523865729427559	0.0499709176328476
IFFO2	0.886395862117498	5.43576892531058e-23
IRX1	-0.552706854120062	0.046946938164928
HS6ST2	-1.15977285801735	0.000182822489383233
FUT3	-0.664109862150474	0.000517889800317989
RAB4B.EGLN2	1.92557074803846	0.0299237870329802
KNDC1	-0.958977973262574	0.00833421092505263
KRCC1	-0.672407116986031	5.29546427119252e-12
FRMD3	0.808963234843745	2.73642364158869e-09
SLFN11	0.953462715052181	4.32213755529989e-11
GPR160	-0.552112513810895	0.0182637687846477
SLCO2A1	0.974869303200968	2.28927528847665e-08
PDZK1	0.602077518238367	0.0194634383018331
LPL	2.04575662127372	3.93458354175172e-29
NUPR1	-0.502529961321002	6.00235695655028e-06
HSD11B2	-0.726587165569736	0.00137441473583079
GRAMD1C	-1.09810841823178	7.49296925292282e-10
SPINK6	1.28146076349736	1.28443708105313e-06
CA8	1.78639176257756	1.58870720366045e-25
LGALS7B	-0.554558021044707	0.00227089863519478
CDH4	0.638212044184082	2.07373548191719e-07
FAM156B	-1.05893815089009	2.50565592105377e-11
VWA1	-0.868112246969698	1.29189899876257e-08
HTR1D	1.65112307226853	2.22495992435991e-32
PLD5	-0.668996949720368	0.000786638694636367
SHISA2	0.542561676156289	0.00845510033682074
SLX1B	0.579265410287777	0.0284660235265587
SATB1	-0.503975019266772	0.030009341116449
HCAR2	-0.558015090260852	0.0249918822374333
COL18A1	0.535827571690794	0.000837841581719823
CAMK1D	0.818351503872378	0.00826525826215648
GPC6	0.743355403801116	4.72602191507319e-05
PCBP3	0.704791835337428	0.00164063028239906
GPR1	0.671858496491623	0.000127879946741988
MACC1	-0.592101562802444	1.17448579437301e-06
ACOT1	0.612257756976936	0.0442436426717377
SLIT3	0.502104948391327	0.00153031262844353
SORCS2	0.528545285269098	0.0216717287943997
FLRT2	0.644977100102423	5.13820583658816e-07
UBALD2	-0.5156774049996	2.0719278039046e-06
SH3BGR	-0.543429940877093	0.0246698854800189
SLITRK2	1.40275899425557	0.0455603775110177
PRELID2	-0.572286308168085	0.00319866355109585
CYP4X1	0.791880665776688	3.73973541209237e-10
FAM86B1	-0.521581302292994	0.0383936517490509
ESPN	-0.810335311214809	0.00764936621197
AKR1C1	0.585788895458824	4.69852873784938e-08
S100A4	0.660653375517361	6.99285029443612e-11
NUDT11	0.918463114080447	0.00401014674498666
ZNF775	-0.9281680697648	3.03954648552407e-12
RFX8	0.755778929252335	0.0287925860091237
AJAP1	0.51605430994246	0.00766623825697376
DAPK1	0.534233945919249	0.00218426064570553
ACSL5	0.78718709008831	4.17332735714739e-07
SERPINA1	-0.541875416305453	0.000209251282858384
COL13A1	0.720545714538421	0.0409917146149181
SERPINB2	-0.531702488486941	0.0347514324900589
SERPINB13	0.545913459609224	0.00159057862364599
HMGN5	-0.545757486820634	0.00028934319077604
SFMBT2	1.39490582984943	0.00101237818949811
RP11.176H8.1	1.36712528144313	0.000252274355396192
EFCAB2	-0.523824338648165	0.00138272632320873
TRIM31	1.16979879815077	2.60031388571063e-08
LINC00654	0.869484610756153	0.0144405885012825
SMIM11	-0.909056302643013	2.01609949617879e-17
CRIP1	1.13909487039887	2.24843099381837e-05
NOTCH2NL	-0.750127125959191	0.0390456823654281
MTCP1	0.773131799979209	0.00771650979658295
C14orf132	0.583030663982747	0.0220003430882248
AC159540.1	-0.524066400461214	0.000353670464082169
PNMA2	1.54952699158357	4.10317288786852e-21
PLA2G4B	-1.98196499714082	1.6928363798823e-07
LINC01085	0.871593417300893	0.00156402517238241
TNFSF12.TNFSF13	4.58051441514424	0.00803369175215835
AP000295.9	-1.72525658994576	3.05295975470041e-05
MRPS17.1	1.67695893654729	0.000101493056448609
RP11.269F21.3	-2.06858800367944	1.43890606088764e-05
RP11.548K23.11	-1.28193591430864	0.000531219797761978
C1orf210	-0.535158555883333	0.00117763937148113
RP11.109J4.1	-1.29743996693234	0.000671128530902759
PCDHGA11	-0.544021873019044	0.00189728335710836
CHKB.CPT1B	-0.501952971459078	0.0410941913779905
RP11.598P20.5	-0.886994776296932	0.00169604184423832
RP11.468E2.1	0.548718077539947	1.46127567415031e-07
SYS1.DBNDD2	-1.26091821185653	2.60225067092616e-06
RP11.762I7.5	4.98936717078757	0.000104000813498101
RP11.603J24.9	1.13448883077901	1.87636854869407e-18
SPECC1L.ADORA2A	4.86950211654582	3.3792557118606e-14
RNASE4	0.874968910927734	3.54155715265454e-05
RP11.47I22.4	-4.49304441150427	0.0164218986264753
RP11.1035H13.3	1.29753557735923	3.01255536457079e-11
RP11.529K1.3	-1.17247174278684	9.52633793649704e-07
RP11.256I9.2	1.37729176144764	0.0267669149715132
SULT1A3	1.10194377903514	6.89149351032913e-16
TMEM178B	1.16346434130964	6.02202396361835e-21
MIA	0.951721345654173	0.0207893917272775
RP13.1032I1.10	4.27527943451356	0.0410971092653113
RP11.44F14.8	-0.962372044586832	0.0485795224655964
RP4.594I10.3	-2.41680274986667	0.0242371338217949
RP13.582O9.6	5.4922958928533	4.07881255934121e-09
GJA5	0.569854282011784	0.00837873649582719
AC006538.4	-0.588458776806499	0.033269107772958
AC005943.2	-0.810682331475684	2.07204004268763e-09
CTD.2132N18.3	5.51277382770829	2.38482908893105e-09
RP11.793H13.10	1.69393683645543	0.000306809454758777
RP11.552F3.12	-2.00957305824754	2.82784344343548e-06
FAM156A	0.799189492760044	9.8342919293055e-10
CTD.3214H19.4	-4.80086113001063	0.00139246167798514
CTC.429P9.4	-0.671199333962582	0.0344348565916126
CTD.2207O23.3	7.29115452727264	1.17692693664578e-65
LINC01224	0.669830826087354	0.0160179276176413
GPR75.ASB3.1	-5.32865886116081	3.34466302773347e-07
HIST2H2AA4	-0.763136938855347	0.0447243290791248
CTC.432M15.3	-6.13562028888468	1.93456549852653e-18
C1QTNF3.AMACR	-4.34595837083632	0.0315375450621874
HZGJ	-4.90947931408312	0.00025893846690139
SMIM11.1	1.97562781189199	4.25354948489504e-53
RP4.568C11.4	-0.500508986136058	0.0118524402140724
RIMBP3B	1.43241776648507	0.0169606204166337
RIMBP3	0.600462205230558	0.0325541267680153
CH507.254M2.1	-0.526753914761803	0.000786638694636367
RP11.734K23.9	1.07335889137233	3.78575092283284e-09
SENP3.EIF4A1	1.47889254354321	0.0118117037703237
CH507.338C24.1	-3.29065647775561	1.07971082325717e-08
CH507.145C22.1	0.741078535323609	0.03021792313214
AC006449.2	0.651250336891255	0.0324162882455059
AC129492.1	-4.35857802070293	0.0276281075479014
AL513523.2	0.513359354330127	0.00296047272211778
FKSG52	4.50793094235099	0.0117543340178619
CH507.513H4.4	0.625682731754326	8.10563085053306e-11
AC009950.1	-0.817732901840683	1.86831941112025e-10
CH507.513H4.6	0.625682731754326	8.10563085053306e-11
PAGR1.1	-2.56402334805752	0.014958975514118
PI4K2B.1	0.701244979841896	0.00405940758296915
CH507.513H4.3	0.625682731754326	8.10563085053306e-11
TMBIM4.1	1.65052984278197	1.55356445265749e-17
RP11.295P9.13	1.84367577092846	0.00581950528844665
